sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Maytenus obtusifolia,Maytenus,CELASTRACEAE,1,2,3,0,2,1,1,2,0,1,1,3,0.814917127,0.002762431,0.0,0.044198895,TropicalHumid,TropicalHumid,Tropical dry forest
Maytenus octogona,Maytenus,CELASTRACEAE,1,2,3,0,2,1,1,2,0,5,2,4,0.606060606,0.121212121,0.0,0.060606061,TropicalHumid,TropicalHumid,Tropical dry forest
Meliosma allenii,Meliosma,SABIACEAE,1,2,3,0,2,2,0,1,1,0,1,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Meliosma glabrata,Meliosma,SABIACEAE,0,2,3,1,2,2,1,1,1,5,1,4,0.945736434,0.020671835,0.002583979,0.005167959,TropicalHumid,TropicalHumid,Tropical humid forest
Meliosma herbertii,Meliosma,SABIACEAE,1,2,3,2,2,1,1,0,1,5,2,1,0.963414634,0.032520325,0.0,0.004065041,TropicalHumid,TropicalHumid,Tropical humid forest
Meriania robusta,Meriania,MELASTOMATACEAE,0,2,3,0,2,0,1,2,1,4,1,1,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Meriania urceolata,Meriania,MELASTOMATACEAE,1,2,3,0,1,2,1,1,1,5,0,0,0.867132867,0.006993007,0.125874126,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Metopium brownei,Metopium,ANACARDIACEAE,1,2,3,0,2,2,1,1,1,0,0,0,0.660280971,0.116219668,0.0,0.164750958,TropicalHumid,TropicalHumid,Tropical dry forest
Metopium toxiferum,Metopium,ANACARDIACEAE,1,2,1,0,2,1,1,1,1,4,1,2,0.763157895,0.0,0.0,0.026315789,TropicalHumid,TropicalHumid,
Miconia albicans,Miconia,MELASTOMATACEAE,1,2,3,0,2,2,1,2,1,5,1,3,0.425648415,0.053602305,0.382420749,0.021902017,TropicalHumid,,
