sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Ocotea corymbosa,Ocotea,LAURACEAE,0,2,3,1,2,1,0,1,1,5,1,3,0.567656766,0.018151815,0.391089109,0.0,TropicalHumid,,
Ocotea curucutuensis,Ocotea,LAURACEAE,1,2,3,0,2,1,0,1,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ocotea dendrodaphne,Ocotea,LAURACEAE,0,2,3,0,2,2,0,1,1,5,1,2,0.890710383,0.027322404,0.0,0.027322404,TropicalHumid,TropicalHumid,
Ocotea diospyrifolia,Ocotea,LAURACEAE,1,2,3,0,2,2,0,1,1,5,2,3,0.575301205,0.015060241,0.305722892,0.0,TropicalHumid,,
Ocotea guianensis,Ocotea,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.790654206,0.099065421,0.093457944,0.007476636,TropicalHumid,TropicalHumid,Tropical humid forest
Ocotea indecora,Ocotea,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.96763754,0.0,0.03236246,0.0,TropicalHumid,TropicalHumid,
Ocotea odorifera,Ocotea,LAURACEAE,0,2,3,0,2,1,0,1,1,5,1,2,0.864229765,0.0,0.130548303,0.0,TropicalHumid,TropicalHumid,
Ocotea porosa,Ocotea,LAURACEAE,0,2,3,0,2,1,1,1,1,5,1,3,0.894117647,0.0,0.105882353,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ocotea puberula,Ocotea,LAURACEAE,0,2,3,0,2,1,0,0,1,5,1,2,0.82080486,0.018982536,0.120728929,0.003796507,TropicalHumid,TropicalHumid,Tropical humid forest
Ocotea pulchella,Ocotea,LAURACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.655104063,0.0,0.266600595,0.060455897,TropicalHumid,TropicalHumid,
Ocotea schomburgkiana,Ocotea,LAURACEAE,0,2,3,0,2,1,0,1,1,5,1,2,0.882352941,0.0,0.117647059,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ocotea splendens,Ocotea,LAURACEAE,1,2,3,0,2,2,0,0,1,5,1,3,0.981884058,0.0,0.018115942,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ocotea tomentella,Ocotea,LAURACEAE,1,2,3,0,2,2,0,1,1,5,1,3,0.777777778,0.0,0.222222222,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Odontadenia macrantha,Odontadenia,APOCYNACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.9,0.011111111,0.033333333,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Oecopetalum mexicanum,Oecopetalum,ICACINACEAE,1,2,3,0,2,1,0,1,0,5,1,4,0.894736842,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Omphalea oleifera,Omphalea,EUPHORBIACEAE,1,2,3,0,2,2,1,1,0,5,2,4,0.157894737,0.684210526,0.0,0.0,TropicalDry,TropicalHumid,
Ophiocaryon manausense,Ophiocaryon,SABIACEAE,1,2,3,0,2,2,1,2,0,3,2,2,0.984848485,0.015151515,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Oreocallis grandiflora,Oreocallis,PROTEACEAE,1,1,3,0,2,0,0,1,1,5,2,5,0.900763359,0.007633588,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Oreopanax peltatus,Oreopanax,ARALIACEAE,1,2,1,0,2,2,1,1,0,1,1,2,0.229813665,0.304347826,0.0,0.0,TropicalDry,TropicalHumid,
Orthion oblanceolatum,Orthion,VIOLACEAE,1,2,1,1,2,1,1,0,1,5,2,5,0.976744186,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ossaea laxivenula,Ossaea,MELASTOMATACEAE,0,2,2,0,2,0,1,1,1,4,1,2,0.985074627,0.014925373,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ossaea micrantha,Ossaea,MELASTOMATACEAE,1,2,3,0,2,0,0,1,1,5,0,1,0.937106918,0.056603774,0.0,0.0,TropicalHumid,TropicalHumid,
Ottoschulzia pallida,Ottoschulzia,ICACINACEAE,1,2,0,1,2,1,1,1,0,1,3,4,0.829787234,0.0,0.0,0.127659574,TropicalHumid,TropicalHumid,Tropical dry forest
Ouratea spectabilis,Ouratea,OCHNACEAE,1,2,3,0,2,2,1,2,1,5,1,4,0.123778502,0.120521173,0.745928339,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Oxandra asbeckii,Oxandra,ANNONACEAE,1,2,3,0,2,1,1,1,1,5,2,5,0.895833333,0.0,0.0625,0.041666667,TropicalHumid,TropicalHumid,Tropical humid forest
Oxandra lanceolata,Oxandra,ANNONACEAE,1,2,3,0,2,1,1,2,0,2,1,3,0.3,0.566666667,0.0,0.033333333,TropicalHumid,,Tropical dry forest
Oxandra riedeliana,Oxandra,ANNONACEAE,1,2,3,0,2,0,1,2,0,3,2,3,0.990291262,0.0,0.009708738,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pachyloma huberioides,Pachyloma,MELASTOMATACEAE,0,2,3,0,2,1,1,1,1,5,2,2,0.989247312,0.0,0.010752688,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pagamea capitata,Pagamea,RUBIACEAE,1,2,1,0,2,2,0,1,1,5,1,5,0.870813397,0.0,0.129186603,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pagamea guianensis,Pagamea,RUBIACEAE,0,2,3,0,2,1,1,1,1,1,1,4,0.822328932,0.052821128,0.069627851,0.037214886,TropicalHumid,TropicalHumid,Tropical humid forest
Palicourea crocea,Palicourea,RUBIACEAE,1,2,3,0,2,2,1,2,1,5,1,3,0.593333333,0.013333333,0.326666667,0.0,TropicalHumid,,Tropical humid forest
Palicourea guianensis,Palicourea,RUBIACEAE,1,2,3,0,2,1,0,1,0,5,1,3,0.895331695,0.015233415,0.047665848,0.008845209,TropicalHumid,TropicalHumid,Tropical humid forest
Panopsis sessilifolia,Panopsis,PROTEACEAE,1,2,3,0,2,0,0,2,0,5,2,4,0.872727273,0.0,0.1,0.027272727,TropicalHumid,TropicalHumid,Tropical humid forest
Parahancornia fasciculata,Parahancornia,APOCYNACEAE,1,2,3,0,2,2,1,2,1,0,1,2,0.9609375,0.0,0.015625,0.0234375,TropicalHumid,TropicalHumid,Tropical humid forest
Parahancornia peruviana,Parahancornia,APOCYNACEAE,1,2,3,0,2,2,1,1,0,1,1,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Parinari campestris,Parinari,CHRYSOBALANACEAE,1,1,1,0,2,1,1,1,1,4,1,0,0.82629108,0.0,0.112676056,0.061032864,TropicalHumid,TropicalHumid,Tropical humid forest
Passiflora mollissima,Passiflora,PASSIFLORACEAE,1,2,1,0,2,1,1,2,0,1,1,4,0.851351351,0.040540541,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Paypayrola guianensis,Paypayrola,VIOLACEAE,1,2,3,0,2,0,1,2,0,1,1,4,0.986666667,0.0,0.0,0.013333333,TropicalHumid,TropicalHumid,Tropical humid forest
Pelliciera rhizophorae,Pelliciera,TETRAMERISTACEAE,1,2,3,0,2,1,0,1,1,5,0,3,0.378151261,0.268907563,0.033613445,0.243697479,TropicalHumid,TropicalHumid,Tropical humid forest
Peltanthera floribunda,Peltanthera,LOGANIACEAE,1,2,3,0,2,1,0,1,1,5,0,5,0.90625,0.09375,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pentagonia macrophylla,Pentagonia,RUBIACEAE,1,2,3,0,2,1,1,1,1,5,1,1,0.948275862,0.051724138,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pera arborea,Pera,PERACEAE,1,2,3,0,2,2,0,2,1,5,2,5,0.757425743,0.158415842,0.01980198,0.024752475,TropicalHumid,TropicalHumid,Tropical humid forest
Pera bicolor,Pera,PERACEAE,1,2,3,0,2,2,1,2,0,1,0,3,0.884210526,0.0,0.115789474,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pera glabrata,Pera,PERACEAE,1,2,3,0,2,2,1,1,0,1,0,5,0.709677419,0.026647966,0.147265077,0.043478261,TropicalHumid,TropicalHumid,
Perianthomega vellozoi,Perianthomega,BIGNONIACEAE,1,2,3,0,1,2,1,1,1,5,2,2,0.159090909,0.431818182,0.409090909,0.0,TropicalDry,,Tropical dry forest
Perrottetia longistylis,Perrottetia,CELASTRACEAE,1,2,3,0,2,1,0,1,1,5,0,5,0.631578947,0.052631579,0.0,0.005847953,TropicalHumid,TropicalHumid,
Persea americana,Persea,LAURACEAE,1,2,3,1,1,1,0,1,0,5,2,4,0.569807037,0.129398411,0.0,0.013620885,TropicalHumid,TropicalHumid,
Persea caerulea,Persea,LAURACEAE,1,2,1,0,2,1,1,1,1,5,2,3,0.780373832,0.063084112,0.065420561,0.0,TropicalHumid,TropicalHumid,
Persea venosa,Persea,LAURACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.57037037,0.0,0.414814815,0.0,TropicalHumid,,
Petrea volubilis,Petrea,VERBENACEAE,1,2,3,0,2,2,0,2,1,5,1,3,0.567835366,0.256859756,0.042682927,0.025152439,TropicalHumid,TropicalHumid,
Phyllanthus acuminatus,Phyllanthus,PHYLLANTHACEAE,1,2,3,0,2,2,1,1,1,5,1,2,0.629787234,0.169148936,0.076595745,0.009574468,TropicalHumid,TropicalHumid,
Phyllanthus brasiliensis,Phyllanthus,PHYLLANTHACEAE,1,2,3,0,2,1,0,2,0,5,1,4,0.848484848,0.03030303,0.121212121,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Phyllanthus grandifolius,Phyllanthus,PHYLLANTHACEAE,0,2,3,0,2,1,1,1,0,5,1,3,0.408602151,0.23655914,0.0,0.021505376,TropicalHumid,TropicalHumid,
Phyllanthus salviifolius,Phyllanthus,PHYLLANTHACEAE,1,2,3,0,2,1,0,1,1,5,2,4,0.884146341,0.0,0.06097561,0.0,TropicalHumid,TropicalHumid,Tropical montane
Phyllanthus sellowianus,Phyllanthus,PHYLLANTHACEAE,1,2,3,0,2,1,1,1,0,5,2,1,0.657894737,0.0,0.223684211,0.0,TropicalHumid,TropicalHumid,
Phyllostylon rhamnoides,Phyllostylon,ULMACEAE,1,2,3,0,2,0,0,1,0,5,1,1,0.263157895,0.434210526,0.190789474,0.0,TropicalDry,TropicalHumid,Tropical dry forest
Physocalymma scaberrimum,Physocalymma,LYTHRACEAE,1,2,3,0,2,0,1,2,1,4,1,2,0.35,0.438888889,0.203703704,0.0,TropicalHumid,,
Picramnia pentandra,Picramnia,PICRAMNIACEAE,1,2,3,0,2,1,1,0,1,5,2,3,0.534482759,0.293103448,0.017241379,0.0,TropicalHumid,TropicalHumid,
Picrasma crenata,Picrasma,SIMAROUBACEAE,1,2,1,0,2,1,0,1,0,5,2,4,0.711111111,0.0,0.177777778,0.0,TropicalHumid,TropicalHumid,
Pimenta dioica,Pimenta,MYRTACEAE,1,2,3,0,2,1,1,2,0,5,1,4,0.736842105,0.0,0.0,0.0,TropicalHumid,TropicalHumid,
Piper hispidum,Piper,PIPERACEAE,1,2,3,0,2,1,1,1,1,5,3,1,0.781558029,0.053418124,0.063593005,0.009856916,TropicalHumid,TropicalHumid,Tropical humid forest
Piptocarpha rotundifolia,Piptocarpha,ASTERACEAE,1,2,3,0,2,2,1,1,1,5,3,1,0.12371134,0.045360825,0.830927835,0.0,TropicalGrasslands,TropicalHumid,
Pisonia aculeata,Pisonia,NYCTAGINACEAE,1,2,3,0,2,1,1,2,0,0,0,4,0.497363796,0.366432337,0.051845343,0.024604569,TropicalHumid,,
Pisonia zapallo,Pisonia,NYCTAGINACEAE,1,2,1,0,2,1,1,1,1,5,0,2,0.347826087,0.2,0.304347826,0.0,TropicalHumid,,
Platonia insignis,Platonia,CLUSIACEAE,1,2,3,0,1,1,1,1,0,5,3,2,0.819354839,0.0,0.083870968,0.083870968,TropicalHumid,TropicalHumid,Tropical humid forest
Plenckia populnea,Plenckia,CELASTRACEAE,1,2,3,0,2,2,1,2,1,5,0,2,0.20713073,0.037351443,0.65704584,0.0,TropicalGrasslands,TropicalHumid,
Pleonotoma melioides,Pleonotoma,BIGNONIACEAE,1,2,1,1,1,1,1,1,0,5,0,2,0.768041237,0.056701031,0.159793814,0.005154639,TropicalHumid,TropicalHumid,Tropical humid forest
Pleurisanthes flava,Pleurisanthes,ICACINACEAE,1,2,3,1,2,1,0,1,0,5,2,4,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pogonophora schomburgkiana,Pogonophora,PERACEAE,1,2,3,0,2,2,1,1,0,1,1,3,0.786850477,0.034994698,0.026511135,0.048780488,TropicalHumid,TropicalHumid,
Polygonanthus amazonicus,Polygonanthus,RHIZOPHORACEAE,1,2,3,0,2,2,1,1,0,5,1,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Polylepis australis,Polylepis,ROSACEAE,1,2,3,0,2,2,1,1,0,1,3,2,0.148148148,0.0,0.444444444,0.0,TropicalGrasslands,TropicalGrasslands,Tropical montane
Poraqueiba guianensis,Poraqueiba,ICACINACEAE,0,2,3,0,2,1,1,1,0,5,1,2,0.990740741,0.0,0.0,0.009259259,TropicalHumid,TropicalHumid,Tropical humid forest
Poraqueiba sericea,Poraqueiba,ICACINACEAE,1,2,3,1,1,1,1,2,0,1,3,4,0.986206897,0.0,0.013793103,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Posoqueria latifolia,Posoqueria,RUBIACEAE,0,2,1,0,2,2,1,1,1,5,0,2,0.857383966,0.025316456,0.042616034,0.026160338,TropicalHumid,TropicalHumid,Tropical humid forest
Poulsenia armata,Poulsenia,MORACEAE,1,2,3,0,2,0,1,2,0,1,0,1,0.927536232,0.031400966,0.024154589,0.009661836,TropicalHumid,TropicalHumid,Tropical humid forest
Pourouma bicolor,Pourouma,URTICACEAE,1,2,1,0,2,2,1,0,1,5,2,2,0.953457447,0.013297872,0.029255319,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pourouma minor,Pourouma,URTICACEAE,1,2,3,0,2,2,1,1,1,1,2,2,0.846318036,0.004268943,0.14941302,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pradosia ptychandra,Pradosia,SAPOTACEAE,1,2,1,0,2,2,1,2,0,1,0,2,0.947368421,0.0,0.052631579,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pradosia schomburgkiana,Pradosia,SAPOTACEAE,1,2,1,0,2,1,1,2,0,2,1,4,0.944444444,0.0,0.034722222,0.020833333,TropicalHumid,TropicalHumid,Tropical humid forest
Prockia crucis,Prockia,SALICACEAE,1,2,1,0,2,1,1,2,0,1,1,2,0.477621483,0.175831202,0.157928389,0.001278772,TropicalHumid,TropicalHumid,
Pseudoxandra lucida,Pseudoxandra,ANNONACEAE,1,2,3,0,2,1,1,1,1,5,1,2,0.964705882,0.0,0.035294118,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Psidium galapageium,Psidium,MYRTACEAE,1,2,3,0,2,1,1,1,0,1,2,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Psidium guajava,Psidium,MYRTACEAE,1,2,1,0,2,0,1,1,0,1,1,3,0.474103586,0.227091633,0.099601594,0.025042686,TropicalHumid,TropicalHumid,
Psidium sartorianum,Psidium,MYRTACEAE,1,2,3,0,2,1,1,1,0,1,1,4,0.364779874,0.327044025,0.135220126,0.0,TropicalHumid,,Tropical dry forest
Psychotria hazenii,Psychotria,RUBIACEAE,0,2,3,0,2,0,0,1,0,5,1,1,0.829268293,0.170731707,0.0,0.0,TropicalHumid,TropicalHumid,
Psychotria hoffmannseggiana,Psychotria,RUBIACEAE,1,2,3,0,2,1,0,1,0,5,2,5,0.619698059,0.034507549,0.167505392,0.049604601,TropicalHumid,TropicalHumid,
Psychotria leiocarpa,Psychotria,RUBIACEAE,1,2,3,0,2,0,0,1,0,5,1,1,0.833808845,0.003566334,0.082025678,0.040656205,TropicalHumid,TropicalHumid,Tropical humid forest
Psychotria nuda,Psychotria,RUBIACEAE,1,2,3,0,2,0,0,1,0,5,2,1,0.868456376,0.0,0.006711409,0.111409396,TropicalHumid,TropicalHumid,
Psychotria pubigera,Psychotria,RUBIACEAE,1,2,3,0,2,0,0,2,0,5,2,4,0.941489362,0.0,0.015957447,0.042553191,TropicalHumid,TropicalHumid,Tropical humid forest
Psychotria ruelliifolia,Psychotria,RUBIACEAE,1,2,3,0,2,0,0,1,0,5,1,1,0.933774834,0.0,0.052980132,0.013245033,TropicalHumid,TropicalHumid,
Psychotria suterella,Psychotria,RUBIACEAE,1,2,3,2,2,1,0,1,0,5,1,4,0.943135662,0.0,0.04224208,0.014622258,TropicalHumid,TropicalHumid,Tropical humid forest
Psychotria vellosiana,Psychotria,RUBIACEAE,1,2,3,0,2,0,0,1,0,5,1,2,0.780848329,0.004498715,0.152956298,0.001285347,TropicalHumid,TropicalHumid,
Ptilochaeta nudipes,Ptilochaeta,MALPIGHIACEAE,0,0,0,0,2,2,1,2,1,4,2,0,0.071428571,0.571428571,0.214285714,0.0,TropicalDry,TropicalDry,Tropical dry forest
Ptychopetalum olacoides,Ptychopetalum,OLACACEAE,0,1,1,0,2,0,0,2,1,5,1,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Pyrostegia venusta,Pyrostegia,BIGNONIACEAE,1,2,3,0,2,2,1,2,0,5,1,2,0.602393617,0.037898936,0.213430851,0.001329787,TropicalHumid,TropicalHumid,
Qualea coerulea,Qualea,VOCHYSIACEAE,1,2,3,0,2,2,1,1,1,5,1,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Qualea dichotoma,Qualea,VOCHYSIACEAE,1,2,3,0,2,2,1,1,1,5,1,0,0.139455782,0.095238095,0.428571429,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Qualea dinizii,Qualea,VOCHYSIACEAE,1,2,3,0,2,2,0,1,1,0,1,0,0.883116883,0.0,0.116883117,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Qualea grandiflora,Qualea,VOCHYSIACEAE,1,2,3,0,2,2,1,1,1,4,2,0,0.243122677,0.104832714,0.595539033,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Qualea multiflora,Qualea,VOCHYSIACEAE,0,2,3,1,2,1,0,2,1,0,1,0,0.227186312,0.040874525,0.730988593,0.0,TropicalGrasslands,TropicalGrasslands,
Qualea rosea,Qualea,VOCHYSIACEAE,1,2,3,0,2,1,0,2,1,0,1,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Quassia amara,Quassia,SIMAROUBACEAE,1,2,3,0,2,3,1,1,1,5,1,0,0.722955145,0.168865435,0.021108179,0.026385224,TropicalHumid,TropicalHumid,Tropical humid forest
Quiina amazonica,Quiina,OCHNACEAE,1,2,3,0,2,1,1,1,1,4,0,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Quiina cruegeriana,Quiina,OCHNACEAE,1,1,1,0,2,3,1,2,1,1,3,0,0.933333333,0.0,0.059259259,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Randia aculeata,Randia,RUBIACEAE,0,2,3,0,2,1,1,1,1,5,1,2,0.533525595,0.281903389,0.008651766,0.049747657,TropicalHumid,TropicalHumid,
Randia armata,Randia,RUBIACEAE,0,2,3,0,2,2,1,2,1,5,0,1,0.555555556,0.156890796,0.121602289,0.011921793,TropicalHumid,TropicalHumid,
Rauvolfia praecox,Rauvolfia,APOCYNACEAE,0,2,1,0,2,1,1,1,1,5,1,4,0.86,0.1,0.04,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Remijia amazonica,Remijia,RUBIACEAE,1,2,1,0,2,1,1,1,1,5,1,2,0.954545455,0.007575758,0.037878788,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Rhabdodendron amazonicum,Rhabdodendron,RHABDODENDRACEAE,1,2,3,0,2,0,1,1,1,5,1,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Rhabdodendron macrophyllum,Rhabdodendron,RHABDODENDRACEAE,1,2,2,0,2,1,1,1,1,5,2,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Rhamnidium elaeocarpum,Rhamnidium,RHAMNACEAE,1,2,3,0,2,1,1,2,1,5,1,3,0.296969697,0.18030303,0.486363636,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Rhamnidium glabrum,Rhamnidium,RHAMNACEAE,1,2,3,0,2,1,1,2,0,4,1,4,0.923076923,0.0,0.076923077,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Rhizophora harrisonii,Rhizophora,RHIZOPHORACEAE,1,2,3,0,2,2,1,1,1,5,2,3,0.565217391,0.0,0.0,0.347826087,TropicalHumid,,
Rhizophora mangle,Rhizophora,RHIZOPHORACEAE,1,2,1,0,2,1,1,2,1,4,1,3,0.230552952,0.101686973,0.0,0.395032802,Mangrove,TropicalHumid,Mangrove
Rhizophora racemosa,Rhizophora,RHIZOPHORACEAE,1,2,3,1,0,1,0,2,1,5,2,2,0.458333333,0.091666667,0.0,0.316666667,TropicalHumid,,Tropical humid forest
Rhodostemonodaphne grandis,Rhodostemonodaphne,LAURACEAE,1,2,3,1,0,1,1,2,1,5,2,2,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Richeria grandis,Richeria,PHYLLANTHACEAE,1,2,0,0,2,1,1,1,1,5,1,1,0.64277839,0.031973539,0.216097023,0.019845645,TropicalHumid,TropicalHumid,
Rollinia mucosa,Rollinia,ANNONACEAE,1,2,3,0,2,2,1,1,0,1,1,3,0.983870968,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Roucheria calophylla,Roucheria,LINACEAE,1,2,3,0,2,0,1,2,0,5,2,4,0.907563025,0.0,0.084033613,0.008403361,TropicalHumid,TropicalHumid,Tropical humid forest
Roucheria punctata,Roucheria,LINACEAE,0,2,3,0,2,2,1,1,1,5,2,0,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Roupala montana,Roupala,PROTEACEAE,1,2,3,0,2,2,1,2,1,5,1,4,0.536444444,0.092444444,0.298222222,0.004888889,TropicalHumid,TropicalHumid,
Rourea pubescens,Rourea,CONNARACEAE,1,2,3,0,2,2,1,2,1,5,1,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ruagea insignis,Ruagea,MELIACEAE,0,2,3,0,2,3,1,1,0,5,1,5,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ryania angustifolia,Ryania,SALICACEAE,1,2,3,0,2,3,1,1,1,5,1,0,0.940298507,0.0,0.059701493,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Ryania speciosa,Ryania,SALICACEAE,0,2,3,0,2,2,1,1,1,1,0,2,0.919134396,0.007972665,0.053530752,0.009111617,TropicalHumid,TropicalHumid,Tropical humid forest
Sacoglottis amazonica,Sacoglottis,HUMIRIACEAE,1,2,3,0,2,1,0,1,0,5,3,4,0.955555556,0.0,0.022222222,0.022222222,TropicalHumid,TropicalHumid,Tropical humid forest
Sacoglottis cydonioides,Sacoglottis,HUMIRIACEAE,1,2,3,0,2,0,0,0,0,5,3,4,0.787878788,0.0,0.121212121,0.090909091,TropicalHumid,TropicalHumid,Tropical humid forest
Sagotia racemosa,Sagotia,EUPHORBIACEAE,1,2,3,1,2,2,1,2,1,1,1,4,0.981395349,0.0,0.01627907,0.002325581,TropicalHumid,TropicalHumid,Tropical humid forest
Sandemania hoehnei,Sandemania,MELASTOMATACEAE,0,1,1,0,2,1,1,1,1,5,2,4,0.93877551,0.0,0.06122449,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Sapium laurifolium,Sapium,EUPHORBIACEAE,1,2,3,0,2,2,0,2,1,4,1,0,0.916666667,0.04,0.01,0.006666667,TropicalHumid,TropicalHumid,Tropical humid forest
Sapium laurocerasus,Sapium,EUPHORBIACEAE,1,2,3,0,2,3,1,1,0,2,0,5,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Sapium stylare,Sapium,EUPHORBIACEAE,1,2,3,0,2,2,1,1,0,5,1,0,0.9342723,0.009389671,0.042253521,0.0,TropicalHumid,TropicalHumid,
Sapranthus microcarpus,Sapranthus,ANNONACEAE,1,2,3,0,2,1,0,1,0,2,1,5,0.164251208,0.584541063,0.0,0.106280193,TropicalDry,TropicalDry,
Sarcaulus brasiliensis,Sarcaulus,SAPOTACEAE,1,2,3,0,2,1,1,1,0,3,2,4,0.931330472,0.053648069,0.004291845,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Saurauia yasicae,Saurauia,ACTINIDIACEAE,1,2,3,0,2,1,1,1,0,3,2,2,0.916666667,0.021276596,0.028368794,0.00177305,TropicalHumid,TropicalHumid,Tropical humid forest
Schaefferia frutescens,Schaefferia,CELASTRACEAE,1,2,3,0,2,1,1,1,1,5,1,1,0.306451613,0.314516129,0.032258065,0.161290323,TropicalHumid,,Tropical dry forest
Schefflera decaphylla,Schefflera,ARALIACEAE,1,2,3,0,2,1,1,1,1,5,2,3,0.977272727,0.0,0.022727273,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Schefflera vinosa,Schefflera,ARALIACEAE,1,2,3,0,2,2,0,0,1,5,2,2,0.196213425,0.04475043,0.559380379,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Schinopsis balansae,Schinopsis,ANACARDIACEAE,1,2,3,1,2,1,0,1,1,5,1,3,0.097222222,0.0,0.791666667,0.0,TropicalGrasslands,TropicalGrasslands,Tropical dry forest
Schinopsis lorentzii,Schinopsis,ANACARDIACEAE,1,2,3,0,2,2,0,1,1,4,2,2,0.036363636,0.036363636,0.836363636,0.0,TropicalGrasslands,TropicalHumid,Tropical dry forest
Schinus molle,Schinus,ANACARDIACEAE,1,2,3,0,2,2,0,2,1,1,1,2,0.512195122,0.0,0.104529617,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Schinus terebinthifolius,Schinus,ANACARDIACEAE,1,2,1,0,2,1,0,1,1,5,1,2,0.815789474,0.0,0.131578947,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Schlegelia nicaraguensis,Schlegelia,SCROPHULARIACEAE,0,1,1,0,2,1,0,1,1,5,2,3,0.937984496,0.007751938,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Schlegelia parviflora,Schlegelia,SCROPHULARIACEAE,0,2,2,0,2,0,1,1,1,5,1,3,0.907692308,0.0,0.076923077,0.007692308,TropicalHumid,TropicalHumid,Tropical humid forest
Scutia spicata,Scutia,RHAMNACEAE,1,2,3,0,2,1,1,1,1,0,1,0,0.117647059,0.705882353,0.0,0.0,TropicalDry,TropicalHumid,Tropical dry forest
Sebastiania commersoniana,Sebastiania,EUPHORBIACEAE,1,2,3,0,2,2,1,1,1,5,2,2,0.542763158,0.0,0.3125,0.0,TropicalHumid,,Tropical humid forest
Securidaca diversifolia,Securidaca,POLYGALACEAE,1,2,3,0,2,0,1,2,1,5,1,1,0.540664376,0.1534937,0.04696449,0.034364261,TropicalHumid,TropicalHumid,
