Species
Miconia theaezans
Miconia umbellata
Neblinanthera cumbrensis
Opisthocentra clidemioides
Pleroma arboreum
Pleroma estrellense
Pleroma granulosum
Pleroma oleifolium
Pleroma stenocarpum
Tateanthus duidae
Tessmannianthus calcaratus
Tetrazygia bicolor
Tibouchina aera
Topobea membranacea
Topobea parasitica
Votomita guianensis
Swietenia humilis
Trichilia hirta
Metteniusa cf
Ottoschulzia domingensis
Mollinedia glaziovii
Mollinedia salicifolia
Clarisia biflora
Clarisia ilicifolia
Clarisia racemosa
Helianthostylis rucei
Maclura brasiliensis
Perebea guianensis
Perebea mollis
Perebea xanthochyma
Pseudolmedia laevigata
Pseudolmedia laevis
Pseudolmedia oxyphyllaria
Pseudolmedia uria
Sorocea hilarii
Streblus aer
Muntingia calabura
Morella cacuminis
Compsoneura rucei
Iryanthera lancifolia
Iryanthera tessmannii
Osteophloeum platyermum
Otoba novogranatensis
Virola bicuhyba
Calyptranthes langsdorffii
Calyptranthes eciosa
Calyptranthes syzygium
Eugenia bimarginata
Eugenia foetida
Eugenia pyruformis
Myrcia bella
Myrcia fenzliana
Myrcia neomontana
Myrcia retorta
Myrcia lendens
Myrcianthes fragrans
Myrrhinium atropurpureum
Neomitranthes obscura
Pimenta racemosa
Plinia cauliflora
Plinia martinelli
Syzygium cumini
Bougainvillea ectabilis
Guapira areolata
Guapira cuidata
Cespedesia athulata
Ouratea castaneifolia
Ouratea ectabilis
Wallacea insignis
Brachynema ramiflorum
Curupira tefeensis
Douradoa consimilis
Olax candida
Olax guianensis
Ximenia americana
Cartrema americana
Chionanthus pubescens
Hesperelaea palmeri
Tessarandra fluminensis
Dilkea retusa
Passiflora macrophylla
Freziera undulata
Ternstroemia dentata
Pera bumeliifolia
Piranhea longepedunculata
Piranhea mexicana
Piranhea trifoliolata
Piper amalago
Piper hieronymi
Piper hiidum
Securidaca virgata
Coccoloba diversifolia
Coccoloba liebmannii
Bonellia macrocarpa
Jacquinia keyensis
Ardisia compressa
Ardisia escallonioides
Ardisia obovata
Cybianthus fulvopulverulentus
Cybianthus parasiticus
Cybianthus peruvianus
Cybianthus psychotriaefolius
Geissanthus quindiensis
Myrsine guianensis
Myrsine juergensenii
Myrsine umbellata
Parathesis chiapensis
Parathesis cubana
Petesiodes clusiifolium
Stylogyne longifolia
Stylogyne turbacensis
Ampelozizyphus amazonicus
Karwinskia humboldtiana
Sarcomphalus obtusifolius
Scutia icata
Hesperomeles ferruginea
Lindleya meiloides
Acrosynanthus trachyphyllus
Appunia debilis
Blepharidium guatemalense
Calycophyllum ruceanum
Capirona decorticans
Capirona macrophylla
Chiococca alba
Chione venosa
Cinchona officinalis
Ferdinandusa rudgeoides
Gleasonia duidana
Guettarda combsii
Henriquezia nitida
Isertia coccinea
Platycarpum maguirei
Psychotria carthagenensis
Psychotria deflexa
Psychotria rufipes
Rudgea hostmanniana
Solenandra mexicana
Amyris balsamifera
Amyris elemifera
Amyris sylvatica
Choisya dumosa
Decatropis bicolor
Esenbeckia grandiflora
Euxylophora paraensis
Neoraputia magnifica
Sohnreyia excelsa
Meliosma sellowii
Casearia bicolor
Casearia completa
Casearia corymbulosa
Casearia gossypioermum
Casearia hirsuta
Casearia obliqua
Casearia panamensis
Hasseltiopsis dioica
Homalium racemosum
Irenodendron cupulatum
Lunania mexicana
Macrohasseltia macroterantha
Neopringlea integrifolia
Neoptychocarpus apodanthus
Olmediella betschleriana
Ryania eciosa
Cardiospermum halicacabum
Cupania glabra
Diatenopteryx sorbifolia
Hypelate trifoliata
Llagunoa nitida
Magonia pubescens
Porocystis toulicioides
Pseudima frutescens
Talisia squarrosa
Thinouia scandens
Thouinidium decandrum
Toulicia bullata
Toulicia pulvinata
Chrysophyllum lendens
Chrysophyllum venezuelanense
